2011-06-03 12:47:49.907123
location	title	price	value	numBought	url
san-diego	San Diego Boca Futbol Club	18	40	40	http://www.groupon.com/deals/san-diego-boca-futbol-club?c=all&amp;p=1
san-diego	Tri-City Wellness Center	49	138	71	http://www.groupon.com/deals/tri-city-wellness?c=all&amp;p=1
san-diego	Affirmations Yoga Studio	15	30	108	http://www.groupon.com/deals/affirmations-yoga-studio?c=all&amp;p=1
san-diego	Salon Bordeaux	49	125	485	http://www.groupon.com/deals/salon-bordeaux?c=all&amp;p=1
san-diego	Alpha Omega Summer Camp	159	350	5	http://www.groupon.com/deals/alpha-omega-summer-camp?c=all&amp;p=1
san-diego	Ray Street Custom Framing	45	100	56	http://www.groupon.com/ch/home-and-garden/deals/ray-street-custom-framing?c=all&amp;p=1
san-diego	3 Day Blinds	89	225	44	http://www.groupon.com/ch/home-and-garden/deals/3-day-blinds-san-diego?c=all&amp;p=1
san-diego	Aquasana	62	125	16	http://www.groupon.com/ch/home-and-garden/deals/aquasana-san-diego?c=all&amp;p=1
san-diego	Home Accents, Etc…	75	230	5	http://www.groupon.com/ch/home-and-garden/deals/home-accents-san-diego?c=all&amp;p=1
san-diego	InstallHDTV.com	189	390	16	http://www.groupon.com/ch/home-and-garden/deals/install-hdtv?c=all&amp;p=1
san-diego	Miss Organized	69	150	10	http://www.groupon.com/ch/home-and-garden/deals/miss-organized?c=all&amp;p=1
denver	$20 for $40 at Rialto Cafe	20	40	706	http://www.groupon.com/deals/rialto-cafe?c=all&amp;p=1
denver	Cairde Wellness, Inc.	30	60	218	http://www.groupon.com/deals/cairde-wellness-denver?c=all&amp;p=1
denver	Colorado Music Festival	19	42	257	http://www.groupon.com/deals/colorado-music-festival?c=all&amp;p=1
denver	The Bent Noodle	8	16	558	http://www.groupon.com/deals/the-bent-noodle?c=all&amp;p=1
denver	Winter Park Lodging Company	99	255	378	http://www.groupon.com/deals/winter-park-lodging-company-denver-1?c=all&amp;p=1
denver	Nail Club Spa	250	500	0	http://www.groupon.com/deals/nail-club-spa-1?c=all&amp;p=1
denver	Contemporary Photography	69	895	103	http://www.groupon.com/deals/contemporary-photography-denver?c=all&amp;p=1
denver	Jolivette Cleaning Services	65	159	357	http://www.groupon.com/deals/jolivette-cleaning-services-denver?c=all&amp;p=1
